127.0.0.1 - - [23/Apr/2019:12:26:01 +0200] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:07 +0200] "GET /Projet_jee/ HTTP/1.1" 200 45211
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/inc/design.css HTTP/1.1" 200 5446
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/FIFA_18.jpg HTTP/1.1" 200 30067
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/bracelet-swarovski-femme-genial-women-archives-frenzystyle-of-bracelet-swarovski-femme-640x480.jpg HTTP/1.1" 200 25266
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/nikeBallon.jpg HTTP/1.1" 200 145530
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/braceletyoga.jpg HTTP/1.1" 200 30641
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/boseecouteurs.jpg HTTP/1.1" 200 20527
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/adidasGants.jpg HTTP/1.1" 200 31428
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/cordeasauter.jpg HTTP/1.1" 200 12424
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/Asus_Zenbook_Ultrabook.jpg HTTP/1.1" 200 24987
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/aspirateur.jpg HTTP/1.1" 200 15276
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/blender-bottle.jpg HTTP/1.1" 200 15907
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/bracelet-en-cuir-pour-homme.jpg HTTP/1.1" 200 24694
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/Bosch_Tondeuse_Gazon.jpg HTTP/1.1" 200 12751
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/bureau.jpg HTTP/1.1" 200 49721
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/Call_of_Duty.jpg HTTP/1.1" 200 32014
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/chaise-longue-qt-en-batyline-royal-botania.jpg HTTP/1.1" 200 15372
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/Casque_Gaming.jpg HTTP/1.1" 200 14541
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/chemise.jpg HTTP/1.1" 200 237019
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:08 +0200] "GET /Projet_jee/images/Dell_Inspiron_G3_15-3579%20PC_Portable_Gamer.jpg HTTP/1.1" 200 5658
